Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Do Not Substitute
,CR-1220/FCN,"Coin, 12.5mm Lithium Manganese Dioxide 3V Battery Non-Rechargeable (Primary)",BT1,1,Panasonic BSG,CR-1220/FCN,Volume Production,,,,,
,0.1uF,CAP CER 0.1UF 50V X7R 0603,"C1, C4",2,KEMET,C0603X104K5RACTU,Volume Production,,,,,
,06036D106MAT2A,"General Purpose Ceramic Capacitor, 0603, 10uF, 20%, X5R, 15%, 6.3V","C2, C8, C10",3,Kyocera AVX,06036D106MAT2A,Volume Production,,,,,
,C0603C104K5RACTU,CAP_0.1µF/50 V_X7R_0603_± 10%_CER,"C3, C9, C11",3,KEMET,C0603C104K5RACTU,Volume Production,,,,,
,C0603C120J5GACTU,"Ceramic Capacitor 12Pf 50V, C0G, 5%, 0603, Full Reel","C5, C6",2,KEMET,C0603C120J5GACTU,Volume Production,,,,,
,1812GC472KAT1A,CAP CER 4700PF 2KV X7R 1812,C7,1,Kyocera AVX,1812GC472KAT1A,Volume Production,,,,,
,1675,10-pin 2x5 Socket-Socket 1.27mm IDC (SWD) Cable - 150mm,CB1,1,Adafruit Industries,1675,,,,,,
,150352M173300,LED RGB CLEAR 6PLCC SMD,D1,1,Wurth Electronics,150352M173300,,,,,,
,150060RS75003,SMT Mono-Color Chip LED Waterclear Advance,D2,1,Wurth Electronics,150060RS75003,,,,,,
,"BAT120C,115",,D3,1,Nexperia,"BAT120C,115",Volume Production,,,,,
,ESP32-S3-WROOM-1-N16R8,Integrated Circuit,IC1,1,Espressif Systems,ESP32-S3-WROOM-1-N16R8,,,,,,
,PCF85363ATT_AJ,Integrated Circuit,IC2,1,NXP Semiconductors,PCF85363ATT/AJ,Volume Production,,,,,
,10067099-400LF,,J1,1,Amphenol ICC / FCI,10067099-400LF,Volume Production,,,,,
,USB4110-GF-A,CONN USB 2.0 TYPE-C R/A SMT,J2,1,Global Connector Technology,USB4110-GF-A,Volume Production,,,,,
,TSW-116-08-L-S,"0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 16-Pin, Male, RoHS","P1, P2",2,Samtec,TSW-116-08-L-S,Volume Production,,,,,
,10K,"Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1, R2, R15, R16, R17",5,Vishay,CRCW060310K0FKEA,Volume Production,,,,,
,ERJ-3GEY0R00V,RES SMD 0 OHM JUMPER 1/10W 0603,"R3, R4",2,Panasonic,ERJ-3GEY0R00V,Volume Production,,,,,
,RC0603FR-0764R9L,,R5,1,Yageo,RC0603FR-0764R9L,Volume Production,,,,,
,CR0603-FX-1002ELF,RES SMD 10K OHM 1% 1/10W 0603,"R6, R8, R9, R10",4,Bourns,CR0603-FX-1002ELF,Volume Production,,,,,
,RC0603FR-07100RL,,R7,1,Yageo,RC0603FR-07100RL,Volume Production,,,,,
,ERA-3AEB512V,RES SMD 5.1K OHM 0.1% 1/10W 0603,"R11, R14",2,Panasonic,ERA-3AEB512V,Volume Production,,,,,
,RCL06120000Z0EA,"0 Ohms Jumper 0.75W, 3/4W Chip Resistor Wide 1206 (3216 Metric), 0612 Automotive AEC-Q200 Thick Film",R12,1,Vishay,RCL06120000Z0EA,Volume Production,,,,,
,RC0603FR-071ML,"Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",R13,1,Yageo,RC0603FR-071ML,Volume Production,,,,,
,434133025816,"Tactile Switch, 0.05A, 16Vdc, 160Gf, Smd Rohs Compliant: Yes","SW1, SW2",2,Wurth Electronics,434133025816,,,,,,
,USBLC6-2SC6,,U1,1,STMicroelectronics,USBLC6-2SC6,Volume Production,,,,,
,AMS1117-3.3,,U2,1,"UMW(Youtai Semiconductor Co., Ltd.)",AMS1117-3.3,,,,,,
,ABS07-32.768KHZ-T,Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70kΩ 2-Pin CSMD T/R,Y1,1,Abracon,ABS07-32.768KHZ-T,Volume Production,,,,,
